Brand Name,Price (INR),Product Name,Image URLs
ADORLY,"Rs.1,386.00",Ador women boots beige 36,"['https://assets.ajio.com/medias/sys_master/root/20221207/vRIY/6390aaedaeb269659cdbae53/adorly__ador_women_boots_beige_36.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221207/vRIY/6390aaedaeb269659cdbae35/adorly__ador_women_boots_beige_36.jpg', 'https://assets.ajio.com/medias/sys_master/root/20221207/vRIY/6390aaedaeb269659cdbae2b/adorly__ador_women_boots_beige_36.jpg']"
CLARKS,"Rs.12,999.00",Men Wallabee2 FTRE Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230821/plaZ/64e388b4ddf779151958231b/clarks_black_men_wallabee2_ftre_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230821/plaZ/64e388b4ddf7791519582313/clarks_black_men_wallabee2_ftre_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230821/plaZ/64e388b4ddf7791519582311/clarks_black_men_wallabee2_ftre_ankle-length_boots.jpg']"
Everqupid,"Rs.1,499.00",Women Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230919/gWpH/6509c16aafa4cf41f5f1b5d5/everqupid_black_women_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/gWpH/6509c16aafa4cf41f5f1b5ba/everqupid_black_women_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230919/gWpH/6509c16aafa4cf41f5f1b5b3/everqupid_black_women_ankle-length_boots.jpg']"
Everqupid,"Rs.1,599.00",Women Chunky-Heeled Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230925/oTnM/6511d066afa4cf41f509f4d7/everqupid_black_women_chunky-heeled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230925/oTnM/6511d066afa4cf41f509f4b1/everqupid_black_women_chunky-heeled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230925/oTnM/6511d066afa4cf41f509f4a6/everqupid_black_women_chunky-heeled_ankle-length_boots.jpg']"
ESMEE,"Rs.1,290.00",Round-Toe Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20230624/b87X/649636a0eebac147fcebdf6f/esmee_brown_round-toe_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230624/b87X/649636a0eebac147fcebdf63/esmee_brown_round-toe_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230624/b87X/649636a0eebac147fcebdf60/esmee_brown_round-toe_ankle-length_boots.jpg']"
STELVIO,Rs.660.00,Men Panelled Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220614/rd3p/62a7933bf997dd03e275cc69/stelvio_brown_men_panelled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220614/rd3p/62a7933bf997dd03e275cc59/stelvio_brown_men_panelled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220614/rd3p/62a7933bf997dd03e275cc55/stelvio_brown_men_panelled_ankle-length_boots.jpg']"
DELIZE,"Rs.7,149.00",Textured Lace-Up Boots with Zip Fastening,"['https://assets.ajio.com/medias/sys_master/root/20230218/HjNM/63f06db7f997dde6f4aff426/delize_black_textured_lace-up_boots_with_zip_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230218/HjNM/63f06db7f997dde6f4aff41e/delize_black_textured_lace-up_boots_with_zip_fastening.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230218/HjNM/63f06db7f997dde6f4aff41c/delize_black_textured_lace-up_boots_with_zip_fastening.jpg']"
ARBUNORE,"Rs.1,230.00",Lace-Up Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220927/M3GY/63330d9baeb269dbb3aa55a7/arbunore_black_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220927/M3GY/63330d9baeb269dbb3aa55a3/arbunore_black_lace-up_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220927/M3GY/63330d9baeb269dbb3aa55a2/arbunore_black_lace-up_ankle-length_boots.jpg']"
STELVIO,Rs.594.00,Panelled Ankle-Length Boots,"['https://assets.ajio.com/medias/sys_master/root/20220614/AEpP/62a79580f997dd03e275d5db/stelvio_black_panelled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220614/AEpP/62a79580f997dd03e275d5cf/stelvio_black_panelled_ankle-length_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20220614/AEpP/62a79580f997dd03e275d5cc/stelvio_black_panelled_ankle-length_boots.jpg']"
Everqupid,"Rs.1,620.00",Women Ankle-Length Lace-Up Boots,"['https://assets.ajio.com/medias/sys_master/root/20230904/IEOt/64f5fd3eafa4cf41f5a2e57f/everqupid_black_women_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230904/IEOt/64f5fd3eafa4cf41f5a2e578/everqupid_black_women_ankle-length_lace-up_boots.jpg', 'https://assets.ajio.com/medias/sys_master/root/20230904/IEOt/64f5fd3eafa4cf41f5a2e576/everqupid_black_women_ankle-length_lace-up_boots.jpg']"
